Age,Home,From,To,move_N,percentage_moving,t1,t2,ct1,ct2,S,E,A,Ia,Is,Ih,Ic,Im,R
2,109,109,116,83.6275644397685,-1,8.90913972993483,9,9,9.09086027006517,1,1,1,1,0,0,0,0,1
2,109,116,109,83.6275644397685,-1,17,17.0908602700652,17.0908602700652,17.1817205401303,1,1,1,1,1,1,1,1,1
3,109,109,116,81.2628294036061,-1,8.90913972993483,9,9,9.09086027006517,1,1,1,1,0,0,0,0,1
3,109,116,109,81.2628294036061,-1,17,17.0908602700652,17.0908602700652,17.1817205401303,1,1,1,1,1,1,1,1,1
1,110,110,116,30.1686567164179,-1,8.92371992326109,9,9,9.07628007673891,1,1,1,1,0,0,0,0,1
1,110,116,110,30.1686567164179,-1,17,17.0762800767389,17.0762800767389,17.1525601534778,1,1,1,1,1,1,1,1,1
2,110,110,116,47.8154379020287,-1,8.92371992326109,9,9,9.07628007673891,1,1,1,1,0,0,0,0,1
2,110,116,110,47.8154379020287,-1,17,17.0762800767389,17.0762800767389,17.1525601534778,1,1,1,1,1,1,1,1,1
3,110,110,116,44.4513618677043,-1,8.92371992326109,9,9,9.07628007673891,1,1,1,1,0,0,0,0,1
3,110,116,110,44.4513618677043,-1,17,17.0762800767389,17.0762800767389,17.1525601534778,1,1,1,1,1,1,1,1,1
1,111,111,116,26.405616224649,-1,8.8580366370737,9,9,9.1419633629263,1,1,1,1,0,0,0,0,1
1,111,116,111,26.405616224649,-1,17,17.1419633629263,17.1419633629263,17.2839267258526,1,1,1,1,1,1,1,1,1
2,111,111,116,23.1983805668016,-1,8.8580366370737,9,9,9.1419633629263,1,1,1,1,0,0,0,0,1
2,111,116,111,23.1983805668016,-1,17,17.1419633629263,17.1419633629263,17.2839267258526,1,1,1,1,1,1,1,1,1
3,111,111,116,20.3458213256484,-1,8.8580366370737,9,9,9.1419633629263,1,1,1,1,0,0,0,0,1
3,111,116,111,20.3458213256484,-1,17,17.1419633629263,17.1419633629263,17.2839267258526,1,1,1,1,1,1,1,1,1
1,113,113,116,33.7239583333333,-1,8.89454608902571,9,9,9.10545391097429,1,1,1,1,0,0,0,0,1
1,113,116,113,33.7239583333333,-1,17,17.1054539109743,17.1054539109743,17.2109078219486,1,1,1,1,1,1,1,1,1
2,113,113,116,21.310119695321,-1,8.89454608902571,9,9,9.10545391097429,1,1,1,1,0,0,0,0,1
2,113,116,113,21.310119695321,-1,17,17.1054539109743,17.1054539109743,17.2109078219486,1,1,1,1,1,1,1,1,1
1,114,114,116,33.1188630490956,-1,8.92418832206206,9,9,9.07581167793794,1,1,1,1,0,0,0,0,1
1,114,116,114,33.1188630490956,-1,17,17.0758116779379,17.0758116779379,17.1516233558759,1,1,1,1,1,1,1,1,1
2,114,114,116,49.0368837034249,-1,8.92418832206206,9,9,9.07581167793794,1,1,1,1,0,0,0,0,1
2,114,116,114,49.0368837034249,-1,17,17.0758116779379,17.0758116779379,17.1516233558759,1,1,1,1,1,1,1,1,1
3,114,114,116,71.2752912323728,-1,8.92418832206206,9,9,9.07581167793794,1,1,1,1,0,0,0,0,1
3,114,116,114,71.2752912323728,-1,17,17.0758116779379,17.0758116779379,17.1516233558759,1,1,1,1,1,1,1,1,1
1,115,115,116,89.0488206253428,-1,8.92568364438965,9,9,9.07431635561035,1,1,1,1,0,0,0,0,1
1,115,116,115,89.0488206253428,-1,17,17.0743163556103,17.0743163556103,17.1486327112207,1,1,1,1,1,1,1,1,1
2,115,115,116,137.60736791081,-1,8.92568364438965,9,9,9.07431635561035,1,1,1,1,0,0,0,0,1
2,115,116,115,137.60736791081,-1,17,17.0743163556103,17.0743163556103,17.1486327112207,1,1,1,1,1,1,1,1,1
3,115,115,116,70.7986577181208,-1,8.92568364438965,9,9,9.07431635561035,1,1,1,1,0,0,0,0,1
3,115,116,115,70.7986577181208,-1,17,17.0743163556103,17.0743163556103,17.1486327112207,1,1,1,1,1,1,1,1,1
1,118,118,116,105.383365200765,-1,8.89730165731224,9,9,9.10269834268776,1,1,1,1,0,0,0,0,1
1,118,116,118,105.383365200765,-1,17,17.1026983426878,17.1026983426878,17.2053966853755,1,1,1,1,1,1,1,1,1
2,118,118,116,136.289592760181,-1,8.89730165731224,9,9,9.10269834268776,1,1,1,1,0,0,0,0,1
2,118,116,118,136.289592760181,-1,17,17.1026983426878,17.1026983426878,17.2053966853755,1,1,1,1,1,1,1,1,1
3,118,118,116,73.54329004329,-1,8.89730165731224,9,9,9.10269834268776,1,1,1,1,0,0,0,0,1
3,118,116,118,73.54329004329,-1,17,17.1026983426878,17.1026983426878,17.2053966853755,1,1,1,1,1,1,1,1,1
3,119,119,116,21.2556270096463,-1,8.82771975045861,9,9,9.17228024954139,1,1,1,1,0,0,0,0,1
3,119,116,119,21.2556270096463,-1,17,17.1722802495414,17.1722802495414,17.3445604990828,1,1,1,1,1,1,1,1,1
1,120,120,116,43.1754385964912,-1,8.92456650812169,9,9,9.07543349187831,1,1,1,1,0,0,0,0,1
1,120,116,120,43.1754385964912,-1,17,17.0754334918783,17.0754334918783,17.1508669837566,1,1,1,1,1,1,1,1,1
2,120,120,116,77.6273224043716,-1,8.92456650812169,9,9,9.07543349187831,1,1,1,1,0,0,0,0,1
2,120,116,120,77.6273224043716,-1,17,17.0754334918783,17.0754334918783,17.1508669837566,1,1,1,1,1,1,1,1,1
3,120,120,116,69.582805907173,-1,8.92456650812169,9,9,9.07543349187831,1,1,1,1,0,0,0,0,1
3,120,116,120,69.582805907173,-1,17,17.0754334918783,17.0754334918783,17.1508669837566,1,1,1,1,1,1,1,1,1
2,122,122,116,24.5790421317969,-1,8.85903993284004,9,9,9.14096006715996,1,1,1,1,0,0,0,0,1
2,122,116,122,24.5790421317969,-1,17,17.14096006716,17.14096006716,17.2819201343199,1,1,1,1,1,1,1,1,1
3,122,122,116,27.0613052076467,-1,8.85903993284004,9,9,9.14096006715996,1,1,1,1,0,0,0,0,1
3,122,116,122,27.0613052076467,-1,17,17.14096006716,17.14096006716,17.2819201343199,1,1,1,1,1,1,1,1,1
1,231,231,116,22.1263042284459,-1,8.71678821959375,9,9,9.28321178040626,1,1,1,1,0,0,0,0,1
1,231,116,231,22.1263042284459,-1,17,17.2832117804063,17.2832117804063,17.5664235608125,1,1,1,1,1,1,1,1,1
2,231,231,116,31.2790804597701,-1,8.71678821959375,9,9,9.28321178040626,1,1,1,1,0,0,0,0,1
2,231,116,231,31.2790804597701,-1,17,17.2832117804063,17.2832117804063,17.5664235608125,1,1,1,1,1,1,1,1,1
1,232,232,116,24.9098228663446,-1,8.78840410438182,9,9,9.21159589561818,1,1,1,1,0,0,0,0,1
1,232,116,232,24.9098228663446,-1,17,17.2115958956182,17.2115958956182,17.4231917912364,1,1,1,1,1,1,1,1,1
2,232,232,116,20.4667046101309,-1,8.78840410438182,9,9,9.21159589561818,1,1,1,1,0,0,0,0,1
2,232,116,232,20.4667046101309,-1,17,17.2115958956182,17.2115958956182,17.4231917912364,1,1,1,1,1,1,1,1,1
2,233,233,116,24.5276801405975,-1,8.60349116514088,9,9,9.39650883485913,1,1,1,1,0,0,0,0,1
2,233,116,233,24.5276801405975,-1,17,17.3965088348591,17.3965088348591,17.7930176697183,1,1,1,1,1,1,1,1,1
2,235,235,116,36.958361774744,-1,8.85588211062209,9,9,9.14411788937792,1,1,1,1,0,0,0,0,1
2,235,116,235,36.958361774744,-1,17,17.1441178893779,17.1441178893779,17.2882357787558,1,1,1,1,1,1,1,1,1
2,236,236,116,21.8574514038877,-1,8.73124096052604,9,9,9.26875903947396,1,1,1,1,0,0,0,0,1
2,236,116,236,21.8574514038877,-1,17,17.268759039474,17.268759039474,17.5375180789479,1,1,1,1,1,1,1,1,1
3,236,236,116,23.4262948207171,-1,8.73124096052604,9,9,9.26875903947396,1,1,1,1,0,0,0,0,1
3,236,116,236,23.4262948207171,-1,17,17.268759039474,17.268759039474,17.5375180789479,1,1,1,1,1,1,1,1,1
1,240,240,116,22.0579268292683,-1,8.66356774120818,9,9,9.33643225879182,1,1,1,1,0,0,0,0,1
1,240,116,240,22.0579268292683,-1,17,17.3364322587918,17.3364322587918,17.6728645175836,1,1,1,1,1,1,1,1,1
2,240,240,116,25.4094236047575,-1,8.66356774120818,9,9,9.33643225879182,1,1,1,1,0,0,0,0,1
2,240,116,240,25.4094236047575,-1,17,17.3364322587918,17.3364322587918,17.6728645175836,1,1,1,1,1,1,1,1,1
1,241,241,116,41.1828080229226,-1,8.90387425635541,9,9,9.09612574364459,1,1,1,1,0,0,0,0,1
1,241,116,241,41.1828080229226,-1,17,17.0961257436446,17.0961257436446,17.1922514872892,1,1,1,1,1,1,1,1,1
2,241,241,116,30.225988700565,-1,8.90387425635541,9,9,9.09612574364459,1,1,1,1,0,0,0,0,1
2,241,116,241,30.225988700565,-1,17,17.0961257436446,17.0961257436446,17.1922514872892,1,1,1,1,1,1,1,1,1
3,241,241,116,24.2355250245339,-1,8.90387425635541,9,9,9.09612574364459,1,1,1,1,0,0,0,0,1
3,241,116,241,24.2355250245339,-1,17,17.0961257436446,17.0961257436446,17.1922514872892,1,1,1,1,1,1,1,1,1
1,245,245,116,41.0475836431227,-1,8.92987010548232,9,9,9.07012989451768,1,1,1,1,0,0,0,0,1
1,245,116,245,41.0475836431227,-1,17,17.0701298945177,17.0701298945177,17.1402597890354,1,1,1,1,1,1,1,1,1
2,245,245,116,39.984,-1,8.92987010548232,9,9,9.07012989451768,1,1,1,1,0,0,0,0,1
2,245,116,245,39.984,-1,17,17.0701298945177,17.0701298945177,17.1402597890354,1,1,1,1,1,1,1,1,1
3,245,245,116,30.4856115107914,-1,8.92987010548232,9,9,9.07012989451768,1,1,1,1,0,0,0,0,1
3,245,116,245,30.4856115107914,-1,17,17.0701298945177,17.0701298945177,17.1402597890354,1,1,1,1,1,1,1,1,1
2,247,247,116,22.012297372834,-1,8.63427193218844,9,9,9.36572806781156,1,1,1,1,0,0,0,0,1
2,247,116,247,22.012297372834,-1,17,17.3657280678116,17.3657280678116,17.7314561356231,1,1,1,1,1,1,1,1,1
1,250,250,116,25.3976953344576,-1,8.85519681139704,9,9,9.14480318860296,1,1,1,1,0,0,0,0,1
1,250,116,250,25.3976953344576,-1,17,17.144803188603,17.144803188603,17.2896063772059,1,1,1,1,1,1,1,1,1
2,250,250,116,31.8978511367175,-1,8.85519681139704,9,9,9.14480318860296,1,1,1,1,0,0,0,0,1
2,250,116,250,31.8978511367175,-1,17,17.144803188603,17.144803188603,17.2896063772059,1,1,1,1,1,1,1,1,1
3,421,421,116,23.0470822281167,-1,8.54641760751461,9,9,9.45358239248539,1,1,1,1,0,0,0,0,1
3,421,116,421,23.0470822281167,-1,17,17.4535823924854,17.4535823924854,17.9071647849708,1,1,1,1,1,1,1,1,1
2,429,429,116,22.8290013679891,-1,8.61553659069763,9,9,9.38446340930237,1,1,1,1,0,0,0,0,1
2,429,116,429,22.8290013679891,-1,17,17.3844634093024,17.3844634093024,17.7689268186047,1,1,1,1,1,1,1,1,1
1,432,432,116,22.7022471910112,-1,8.69943946879108,9,9,9.30056053120892,1,1,1,1,0,0,0,0,1
1,432,116,432,22.7022471910112,-1,17,17.3005605312089,17.3005605312089,17.6011210624178,1,1,1,1,1,1,1,1,1
2,432,432,116,20.669014084507,-1,8.69943946879108,9,9,9.30056053120892,1,1,1,1,0,0,0,0,1
2,432,116,432,20.669014084507,-1,17,17.3005605312089,17.3005605312089,17.6011210624178,1,1,1,1,1,1,1,1,1
2,440,440,116,26.2207792207792,-1,8.66214722253347,9,9,9.33785277746653,1,1,1,1,0,0,0,0,1
2,440,116,440,26.2207792207792,-1,17,17.3378527774665,17.3378527774665,17.6757055549331,1,1,1,1,1,1,1,1,1
2,973,973,116,21.3616709417369,-1,8.66235203086591,9,9,9.33764796913409,1,1,1,1,0,0,0,0,1
2,973,116,973,21.3616709417369,-1,17,17.3376479691341,17.3376479691341,17.6752959382682,1,1,1,1,1,1,1,1,1
2,85,85,139,22.8241296518607,-1,8.55893688110821,9,9,9.44106311889179,1,1,1,1,0,0,0,0,1
2,85,139,85,22.8241296518607,-1,17,17.4410631188918,17.4410631188918,17.8821262377836,1,1,1,1,1,1,1,1,1
2,87,87,139,23.073471676949,-1,8.6721644213646,9,9,9.3278355786354,1,1,1,1,0,0,0,0,1
2,87,139,87,23.073471676949,-1,17,17.3278355786354,17.3278355786354,17.6556711572708,1,1,1,1,1,1,1,1,1
1,88,88,139,21.7377990430622,-1,8.62430504807188,9,9,9.37569495192812,1,1,1,1,0,0,0,0,1
1,88,139,88,21.7377990430622,-1,17,17.3756949519281,17.3756949519281,17.7513899038563,1,1,1,1,1,1,1,1,1
1,124,124,139,46.125,-1,8.78818581494728,9,9,9.21181418505272,1,1,1,1,0,0,0,0,1
1,124,139,124,46.125,-1,17,17.2118141850527,17.2118141850527,17.4236283701054,1,1,1,1,1,1,1,1,1
2,124,124,139,43.2021390374332,-1,8.78818581494728,9,9,9.21181418505272,1,1,1,1,0,0,0,0,1
2,124,139,124,43.2021390374332,-1,17,17.2118141850527,17.2118141850527,17.4236283701054,1,1,1,1,1,1,1,1,1
3,124,124,139,27.6740797546012,-1,8.78818581494728,9,9,9.21181418505272,1,1,1,1,0,0,0,0,1
3,124,139,124,27.6740797546012,-1,17,17.2118141850527,17.2118141850527,17.4236283701054,1,1,1,1,1,1,1,1,1
1,125,125,139,27.1268191268191,-1,8.7476907319701,9,9,9.2523092680299,1,1,1,1,0,0,0,0,1
1,125,139,125,27.1268191268191,-1,17,17.2523092680299,17.2523092680299,17.5046185360598,1,1,1,1,1,1,1,1,1
2,125,125,139,49.2543554006969,-1,8.7476907319701,9,9,9.2523092680299,1,1,1,1,0,0,0,0,1
2,125,139,125,49.2543554006969,-1,17,17.2523092680299,17.2523092680299,17.5046185360598,1,1,1,1,1,1,1,1,1
3,125,125,139,36.4617151607963,-1,8.7476907319701,9,9,9.2523092680299,1,1,1,1,0,0,0,0,1
3,125,139,125,36.4617151607963,-1,17,17.2523092680299,17.2523092680299,17.5046185360598,1,1,1,1,1,1,1,1,1
3,126,126,139,24.6961566352429,-1,8.76419537820526,9,9,9.23580462179474,1,1,1,1,0,0,0,0,1
3,126,139,126,24.6961566352429,-1,17,17.2358046217947,17.2358046217947,17.4716092435895,1,1,1,1,1,1,1,1,1
2,127,127,139,31.0699193238571,-1,8.6837662081417,9,9,9.3162337918583,1,1,1,1,0,0,0,0,1
2,127,139,127,31.0699193238571,-1,17,17.3162337918583,17.3162337918583,17.6324675837166,1,1,1,1,1,1,1,1,1
1,128,128,139,39.1502325581395,-1,8.81970204308581,9,9,9.18029795691419,1,1,1,1,0,0,0,0,1
1,128,139,128,39.1502325581395,-1,17,17.1802979569142,17.1802979569142,17.3605959138284,1,1,1,1,1,1,1,1,1
2,128,128,139,38.4133400707428,-1,8.81970204308581,9,9,9.18029795691419,1,1,1,1,0,0,0,0,1
2,128,139,128,38.4133400707428,-1,17,17.1802979569142,17.1802979569142,17.3605959138284,1,1,1,1,1,1,1,1,1
3,128,128,139,34.5941358024691,-1,8.81970204308581,9,9,9.18029795691419,1,1,1,1,0,0,0,0,1
3,128,139,128,34.5941358024691,-1,17,17.1802979569142,17.1802979569142,17.3605959138284,1,1,1,1,1,1,1,1,1
1,129,129,139,30.0094637223975,-1,8.83945471079717,9,9,9.16054528920283,1,1,1,1,0,0,0,0,1
1,129,139,129,30.0094637223975,-1,17,17.1605452892028,17.1605452892028,17.3210905784057,1,1,1,1,1,1,1,1,1
2,129,129,139,51.2477517985612,-1,8.83945471079717,9,9,9.16054528920283,1,1,1,1,0,0,0,0,1
2,129,139,129,51.2477517985612,-1,17,17.1605452892028,17.1605452892028,17.3210905784057,1,1,1,1,1,1,1,1,1
3,129,129,139,52.7400976668475,-1,8.83945471079717,9,9,9.16054528920283,1,1,1,1,0,0,0,0,1
3,129,139,129,52.7400976668475,-1,17,17.1605452892028,17.1605452892028,17.3210905784057,1,1,1,1,1,1,1,1,1
1,130,130,139,153.724877177311,-1,8.92159086165908,9,9,9.07840913834092,1,1,1,1,0,0,0,0,1
1,130,139,130,153.724877177311,-1,17,17.0784091383409,17.0784091383409,17.1568182766818,1,1,1,1,1,1,1,1,1
2,130,130,139,105.904104334484,-1,8.92159086165908,9,9,9.07840913834092,1,1,1,1,0,0,0,0,1
2,130,139,130,105.904104334484,-1,17,17.0784091383409,17.0784091383409,17.1568182766818,1,1,1,1,1,1,1,1,1
3,130,130,139,79.3270171149144,-1,8.92159086165908,9,9,9.07840913834092,1,1,1,1,0,0,0,0,1
3,130,139,130,79.3270171149144,-1,17,17.0784091383409,17.0784091383409,17.1568182766818,1,1,1,1,1,1,1,1,1
1,131,131,139,24.8189806678383,-1,8.72601710715649,9,9,9.27398289284351,1,1,1,1,0,0,0,0,1
1,131,139,131,24.8189806678383,-1,17,17.2739828928435,17.2739828928435,17.547965785687,1,1,1,1,1,1,1,1,1
2,131,131,139,37.5104895104895,-1,8.72601710715649,9,9,9.27398289284351,1,1,1,1,0,0,0,0,1
2,131,139,131,37.5104895104895,-1,17,17.2739828928435,17.2739828928435,17.547965785687,1,1,1,1,1,1,1,1,1
3,131,131,139,20.7011494252874,-1,8.72601710715649,9,9,9.27398289284351,1,1,1,1,0,0,0,0,1
3,131,139,131,20.7011494252874,-1,17,17.2739828928435,17.2739828928435,17.547965785687,1,1,1,1,1,1,1,1,1
1,133,133,139,52.7450812660394,-1,8.93112874619438,9,9,9.06887125380562,1,1,1,1,0,0,0,0,1
1,133,139,133,52.7450812660394,-1,17,17.0688712538056,17.0688712538056,17.1377425076112,1,1,1,1,1,1,1,1,1
2,133,133,139,91.4050838290968,-1,8.93112874619438,9,9,9.06887125380562,1,1,1,1,0,0,0,0,1
2,133,139,133,91.4050838290968,-1,17,17.0688712538056,17.0688712538056,17.1377425076112,1,1,1,1,1,1,1,1,1
3,133,133,139,50.4662491301322,-1,8.93112874619438,9,9,9.06887125380562,1,1,1,1,0,0,0,0,1
3,133,139,133,50.4662491301322,-1,17,17.0688712538056,17.0688712538056,17.1377425076112,1,1,1,1,1,1,1,1,1
1,134,134,139,50.7971631205674,-1,8.86493619322388,9,9,9.13506380677612,1,1,1,1,0,0,0,0,1
1,134,139,134,50.7971631205674,-1,17,17.1350638067761,17.1350638067761,17.2701276135522,1,1,1,1,1,1,1,1,1
2,134,134,139,37.938242280285,-1,8.86493619322388,9,9,9.13506380677612,1,1,1,1,0,0,0,0,1
2,134,139,134,37.938242280285,-1,17,17.1350638067761,17.1350638067761,17.2701276135522,1,1,1,1,1,1,1,1,1
3,134,134,139,32.7274562584118,-1,8.86493619322388,9,9,9.13506380677612,1,1,1,1,0,0,0,0,1
3,134,139,134,32.7274562584118,-1,17,17.1350638067761,17.1350638067761,17.2701276135522,1,1,1,1,1,1,1,1,1
1,135,135,139,25.8321226795803,-1,8.7814194522989,9,9,9.2185805477011,1,1,1,1,0,0,0,0,1
1,135,139,135,25.8321226795803,-1,17,17.2185805477011,17.2185805477011,17.4371610954022,1,1,1,1,1,1,1,1,1
2,135,135,139,21.720207253886,-1,8.7814194522989,9,9,9.2185805477011,1,1,1,1,0,0,0,0,1
2,135,139,135,21.720207253886,-1,17,17.2185805477011,17.2185805477011,17.4371610954022,1,1,1,1,1,1,1,1,1
3,135,135,139,35.6073619631902,-1,8.7814194522989,9,9,9.2185805477011,1,1,1,1,0,0,0,0,1
3,135,139,135,35.6073619631902,-1,17,17.2185805477011,17.2185805477011,17.4371610954022,1,1,1,1,1,1,1,1,1
1,136,136,139,32.116935483871,-1,8.66523009030285,9,9,9.33476990969715,1,1,1,1,0,0,0,0,1
1,136,139,136,32.116935483871,-1,17,17.3347699096971,17.3347699096971,17.6695398193943,1,1,1,1,1,1,1,1,1
2,136,136,139,45.5741573033708,-1,8.66523009030285,9,9,9.33476990969715,1,1,1,1,0,0,0,0,1
2,136,139,136,45.5741573033708,-1,17,17.3347699096971,17.3347699096971,17.6695398193943,1,1,1,1,1,1,1,1,1
3,136,136,139,27.1094306049822,-1,8.66523009030285,9,9,9.33476990969715,1,1,1,1,0,0,0,0,1
3,136,139,136,27.1094306049822,-1,17,17.3347699096971,17.3347699096971,17.6695398193943,1,1,1,1,1,1,1,1,1
2,137,137,139,31.7948023822415,-1,8.73798342274207,9,9,9.26201657725793,1,1,1,1,0,0,0,0,1
2,137,139,137,31.7948023822415,-1,17,17.2620165772579,17.2620165772579,17.5240331545158,1,1,1,1,1,1,1,1,1
